accidents,code
1453,11206
1528,10016
372,10038
207,10039
764,10312
1244,11210
1208,11223
1755,11101
1347,11354
1138,11413
2676,11207
1083,11355
287,10471
899,11216
1233,11219
1284,11432
595,10033
628,11231
1568,10001
479,11356
717,10027
1774,11434
1270,11420
1409,10019
939,10454
1146,11214
1251,10469
1077,11229
1513,11230
663,11232
873,11238
747,10452
1044,11221
584,11379
481,11357
1775,11226
482,11414
1122,10011
1163,11372
1224,11220
1546,11233
1515,11368
1004,10459
1809,11208
1185,11215
1745,11203
965,11237
1504,10002
487,11365
980,11422
653,11367
1701,11212
988,10462
739,10010
802,11417
294,11104
649,11369
855,11378
1124,11217
341,11105
527,11423
1959,11385
1555,10013
26,10121
328,11366
954,10456
1212,10457
679,10465
871,10472
1362,11235
1121,10458
2000,11234
1157,10460
1022,11218
478,10007
1090,11213
1093,10461
627,10475
2088,11236
902,10463
1390,10467
1352,10466
880,10017
869,11209
516,10021
167,11360
1541,10036
1109,10451
440,11416
360,11428
1427,11211
494,10009
574,11429
627,11358
801,10012
734,11418
838,10065
1037,11435
809,11433
1390,10022
1097,11204
1458,11373
453,11427
917,10455
503,11411
1239,10018
737,10468
700,11228
67,10000
1315,11377
554,11421
241,10040
403,11103
416,11106
812,11205
632,11249
178,11693
305,11102
401,10014
470,10034
881,10453
1630,11201
329,10026
259,11362
301,10030
848,10301
575,10024
246,10004
868,10304
566,11361
831,11375
909,10003
717,10305
768,10023
470,10470
201,11363
40,11430
1030,11222
506,10025
99,10464
1008,10035
610,11224
353,11436
883,11419
227,11239
508,11370
813,10029
684,11225
345,10314
17,10302
365,11004
120,10006
1052,10306
677,11412
379,10031
258,11415
753,11691
5,10177
710,10032
339,11426
574,10474
518,10128
23,10119
58,11001
184,11692
488,10310
545,11374
289,10075
719,10473
381,11364
381,10309
420,10028
344,10308
16,10169
122,10005
114,10307
203,11694
59,11040
282,10037
20,10282
39,10020
3,10110
12,10118
5,10153
5,10041
24,10168
2,10106
16,10069
21,11697
11,11005
12,10281
8,10123
1,10171
9,10278
2,10103
11,10172
1,10179
9,10165
24,10280
6,10155
3,10154
2,10178
3,10120
1,10045
1,10107
6,10112
4,10271
1,10279
2,10174
3,10170
2,10158
1,10122
1,10176
1,10111
